jobId,employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl,fullDescription
41564639,626228,Aggregator Network,NA,NA,Data Science & Machine Learning Research Engineer,Gloucester,NA,NA,NA,24/01/2021,13/12/2020,"What is Raytheon's Strategic Research Group (SRG)?Part of Raytheon UK's Cyber and Intelligence (C&amp;I) business, the Strategic Research Group (SRG) is a multi-disciplinary expert team focused on next-gen research in artificial intelligence, security research and cloud technology.SRG is not yet another software team building enterprise solutions. The group operate at the cutting edge of technology and re... ",5,https://www.reed.co.uk/jobs/data-science-machine-learning-research-engineer/41564639,"<strong>What is Raytheon's Strategic Research Group (SRG)?</strong><br /><br />Part of Raytheon UK's Cyber and Intelligence (C&amp;I) business, the Strategic Research Group (SRG) is a multi-disciplinary expert team focused on next-gen research in artificial intelligence, security research and cloud technology.<br /><br />SRG is not yet another software team building enterprise solutions. The group operate at the cutting edge of technology and research, applying world class research to customer-relevant challenges in order to create unique prototypes, genuine expertise and valuable  hands-on skills.<br /><br />Established in Jan 2019, SRG was created to focus Raytheon's efforts on next-generation technologies critical to create the future capabilities our customers demand. In the short time since the group was established, greats success - both technically and commercially  - has been achieved.<br /><br />As a result of these successes, SRG is seeking to grow, allowing the group to tackle more challenges and deliver further successes.<br /><br /><strong>What makes SRG different?</strong><br /><br />SRG is an expert group, made of a team of people with broad skills, expertise and experience. The team includes post-doctorate researchers, experienced data scientists and engineers with customer knowledge, security research and machine learning expertise.<br /><br />SRG's culture sets it apart from many other teams. It is vital to how the group operates and to its success.<br /><br />SRG values creating and sharing tangible results over creating overly detailed plans and excessive PowerPoint presentations. The team deliver a mix of internally funded research and customer funded projects.<br /><br />SRG work on a 'cloud first' basis - AWS, Atlassian, GitHub, Slack are main productivity tools.<br /><br />SRG is collaborative, supportive and independent. Above all, every member of the group strives to delight and impress our stakeholders, taking great pride in their work.<br /><br /><strong>Data Science &amp; Machine Learning Research Engineer <br /><br />Location - Gloucester </strong><br /><br /><strong>Essential Behaviours &amp; Attitude</strong><br /><br /><strong>Delivery</strong>. <ul> <li>Hands-on experience designing, creating, building and operating complex software systems.</li><li>Strong experience with modern software engineering approaches and best practices.</li></ul> <strong>Effective Communicator</strong>. <ul> <li>Able to tailor written and verbal communication to a wide range of audiences including technical authors, customers, conferences and public events.</li><li>Successful examples of conference speaking, customer engagement and managerial presentations.</li></ul> <strong>Inquisitive self-starter</strong>. <ul> <li>Work with autonomy, able to build trusted relationships and rapidly establish a reputation for enthusiasm, delivery and reliability.</li></ul> <strong>Supportive and collaborative</strong>. <ul> <li>Must be able to demonstrate clear examples of providing support to team members and colleagues</li><li>Track record of creating a collaborative working ethos within a team or organisation.</li></ul> <strong>Resilient and driven</strong>. <ul> <li>Must be able to stay goal focused, regardless of blockers, obstacles or wider issues both in personal work and within the wider team.</li></ul> <strong>Willingness to learn and work across boundaries</strong>. <ul> <li>Ability to work in new disciplines as a non-expert within expert teams is essential.</li><li>Willingness and energy to learn new topics, new concepts and new skills in order to facilitate collaboration and solve problems.</li></ul> <br /><strong>Core Technical Skills</strong><br /><br />We expect: <ul> <li>Solid technical and research foundation, either academic or professional track record in technology, research and early-stage development.</li><li>Strong knowledge of core machine learning models, algorithms and techniques.</li><li>Good skills - or demonstrable ability to rapidly learn - standard data science toolset including Python, sckitlearn, Jupyter, Apache Spark and the wider Hadoop eco-system</li></ul> <strong>Your professional achievements must demonstrate:</strong> <ul> <li>Track record rapidly creating early-stage prototypes under uncertainty</li><li>Proven ability to create software artefacts using modern software engineering best practices where appropriate</li></ul> <strong>Broader Experience</strong><br /><br />SRG welcomes individuals with a broad range of experiences, diverse careers and technical qualifications. Such diversity of thought is an asset, and as such, broad career experience is valuable: <ul> <li>Professional certification in AWS Machine Learning or Solutions Architecture, Cloudera Data Scientist or other technologies.</li><li>Specialist knowledge in automated reasoning, computer vision, natural language understanding, predictive analytics, behavioural analytics or any other applied machine learning domain</li><li>Experience creating and deploying production-grade machine learning workloads in a Hadoop eco-system (either on-prem or public cloud)</li><li>Experience working in the Defence and National Security domain, in particular direct experience working with UK Government customers.</li><li>Evidence of proactive self-development and self-directed learning in particular Kaggle participation</li><li>Research credentials, either academic or professional, to evidence ability to innovate and contribute new results to the scientific literature.</li></ul> 165131 <br />Raytheon Technologies is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.<br /><br />"
41665242,610656,The Flowminder Foundation,NA,NA,Data Scientist / Mid-Level / Senior Data Scientist,Southampton,56508,56508,GBP,15/02/2021,04/01/2021,"Data Scientist / Mid-Level / Senior Data ScientistBased in Southampton or StockholmPermanent or 12 month contractAbout UsFlowminder is a non-profit foundation that specialises in the analysis of anonymised mobile phone data, satellite imagery, and household survey data for humanitarian and international development purposes.Our mission is to enable decision makers ... ",5,https://www.reed.co.uk/jobs/data-scientist-mid-level-senior-data-scientist/41665242,"<strong>Data Scientist / Mid-Level / Senior Data Scientist</strong><br />Based in Southampton or Stockholm<br />Permanent or 12 month contract<br /><br /><strong>About Us</strong><br /><br />Flowminder is a non-profit foundation that specialises in the analysis of anonymised mobile phone data, satellite imagery, and household survey data for humanitarian and international development purposes.<br /><br />Our mission is to enable decision makers to access the data they need to transform the lives of vulnerable people, at scale. We are striving to create a world in which decisions that can improve the lives of vulnerable people are based on the most appropriate  evidence. We partner with decision makers and key stakeholders in national and international data systems to produce high-quality data, strengthen capacity, develop new methods and tools, and leverage novel data sources to improve the lives of vulnerable populations.<br /><br />Flowminder was the first organisation to respond to a large-scale infectious disease epidemic (the Haiti cholera outbreak in 2010) using mobile operator data, and Flowminder’s researchers were the first to show that mobile operator data can predict the spatial  spread of an infectious disease.<br /><br />As we are marshalling our resources to support government and public decision-making during the COVID-19 pandemic, we are looking for Data Scientists with varying levels of experience to join our team and contribute to the wide range of humanitarian and development  projects we are delivering. While the current situation is imposing home-working, we are looking for candidates that will join one of our offices based in Southampton (UK) and Stockholm (Sweden).<br /><br /><strong>The Role</strong><br /><br />As a Data Scientist, you will develop new methods for processing large datasets in the development and humanitarian sectors.<br /><br />You’ll engage with end users to understand their needs and identify which insights will be most relevant. You’ll carry out data analysis, which will include:<br /><br />- Data cleaning<br />- Data integration<br />- Exploratory and standard analysis<br />- Interpret results from exploratory and standard analyses<br />- Assess the limitations of the data<br />- Protect data subjects’ privacy, including acting in accordance with GDPR<br /><br />You will also be responsible for reporting findings:<br /><br />- Choose dissemination methods that are appropriate for users’ technical capacity<br />- Ensure results and conclusions are communicated clearly and can be understood by a non-technical audience<br />- Clearly communicate any limitations of the data<br />- Take into account ethical issues around how data will be used<br />- Disseminate work via presentations, workshops and conferences<br /><br />Experienced candidates will have the chance to lead small projects or act as project director for certain initiatives. For more information, select the apply button shown to view the Job Description.<br /><br /><strong>About You</strong><br /><br />To join us as a Data Scientist, the below is essential:<br /><br />- Demonstrable experience in the development and application of data analysis and/or machine learning to large-scale datasets<br />- Experience of writing well-documented, maintainable code<br />- A PhD in statistics, maths, physics, ecology, sociology or geography (or demonstrable equivalent research experience)<br />- Knowledge and experience in data analysis: processing and analysis of spatial data and time series, statistics, probability theory and combinatorial analysis<br />- Strong ability to reason under uncertainty: combine quantitative analytical thinking with contextual knowledge and use critical thinking to extract and interpret information from data<br />- A genuine interest in, and the willingness to further understand, the mission and operations of our organisation<br />- A genuine desire to see the outputs of your work improve the lives of vulnerable populations<br />- Excellent written and verbal communication skills<br />- The ability to work well independently and as part of a team<br /><br />Highly desirable criteria:<br /><br />- At least two years’ experience of Python data analysis libraries, such as Pandas, NumPy and Bokeh/Matplotlib, or MATLAB, R or equivalent<br />- Experience with mobility or flow data, spatial data and spatial models, survey data (geo-located questionnaires), and data integration<br />- Previous experience in large-scale data mining or artificial intelligence<br />- Experience with a Big Data ecosystem - algorithms, tools and technologies<br />- Experience in applying quantitative methods to support governments and humanitarian actors’ decision making<br />- Experience with geographic information systems (GIS)<br />- Experience of working on real-world problems in resource poor settings (low and lower middle-income countries)<br />- A good understanding of low- and middle-income contexts<br /><br />Other organisations may call this role Mobile Data Scientist, Mid-Level Data Scientist, Senior Data Scientist, Lead Data Scientist, Data Analyst, Insights Analyst, or Mobile Data Analyst, Project design Analyst.<br /><br /><strong>The Benefits</strong><br /><br />- Salary of up to &#163;56,508 per annum DOE<br />- Initially home working during lockdown (ultimately office based with some home working)<br />- Support projects that will improve the lives of the world’s most vulnerable<br />- Collaborate with a talented, passionate team<br />- Take on an exciting role where your work will make a real difference<br /><br />So, if you are seeking your next challenge as a Data Scientist / Mid-Level / Senior Data Scientist, please apply via the button shown. This vacancy is being advertised by Webrecruit. The services advertised by Webrecruit are those of an Employment Agency."
41725106,331522,Harnham,NA,NA,Senior Data Scientist - 5 Months FTC,London,55000,60000,GBP,22/02/2021,11/01/2021," SENIOR DATA SCIENTIST &#163;60,000 &#43; BENEFITS LONDON/ REMOTE Are you interested in working with large volumes of data for a well-known telecommunication brand that has over 25 million customers in the UK? Are you looking for great opportunity for career progression and growth in a data science team backed heavily  by investment? This is the perfect opportunity for an... ",1,https://www.reed.co.uk/jobs/senior-data-scientist-5-months-ftc/41725106," <p><strong>SENIOR DATA SCIENTIST</strong></p> <p><strong>&#163;60,000 &#43; BENEFITS</strong></p> <p><strong>LONDON/ REMOTE</strong></p> <p>Are you interested in working with large volumes of data for a well-known telecommunication brand that has over 25 million customers in the UK? Are you looking for great opportunity for career progression and growth in a data science team backed heavily  by investment? This is the perfect opportunity for an experienced data scientist looking for a new, exciting challenge.</p> <p><strong>THE COMPANY:</strong></p> <p>As a Data Scientist, you will be working in the data science team that focuses on modelling complex business problems around improving customer experience through data insights. Previous winners of &quot;Best Network for Customer Service,&quot; customer experience  is a priority to this well-established brand. The company is currently investing heavily into their data science function and are looking for talented data scientists to grow-out the team and develop within the company and team.</p> <p><strong>THE ROLE:</strong></p> <p>The role of Data Scientist will require you to work with large volumes data and solve business problems and optimise the overall business performance.</p> <p>Specifically, you can expect to be involved in the following:</p> <ul> <li>You will be working in the data science team to solve business problems around marketing effectiveness, reducing customer churn, improving stock management and maximising customer lifetime value</li><li>You will be building end to end machine learning models in python</li><li>You will have excellent communication skills and be able to present ideas to less technically minded co-workers</li><li>You will be a natural problem-solver and will have genuine interest in growing out the data science function within the business</li></ul> <p><strong>YOUR SKILLS AND EXPERIENCE:</strong></p> <p>The successful Data Scientist will have the following skills and experience:</p> <ul> <li>Educated to PhD or Master's level (PhD preferred) in a STEM degree focused in quantitative methods and statistics (Science, Technology, Engineering, Mathematics etc)</li><li>Proficiency in programming languages and statistical analysis tools - Python, Spark, and other ML techniques</li><li>Proven commercial experience in a customer focused Machine Learning role</li><li>Proven experience working with building models for customer churn, credit risk/ optimisation, supply chain optimisation etc</li></ul> <p><strong>THE BENEFITS:</strong></p> <p>The successful Data Scientist will receive a salary, dependent on experience be up to &#163;60,000. There are other exciting benefits, such as a bonus, health care, pension and a car allowance.</p> <p><strong>HOW TO APPLY:</strong></p> <p>Please register your interest by sending your CV to Francesca Curtis via the Apply link on this page.</p> "
41760986,391559,Reqiva Ltd,NA,NA,Data Scientist Ordnance Survey Data Contract,Reading,400,400,GBP,13/02/2021,15/01/2021,"* Ordnance Survey Data Experience Required* Python* SQLOur client is seeking a data scientist to work on core project delivery, taking ownership of and managing data science processes. You will enjoy working with one of the strongest data sets in the country, cutting edge technology, and the ability to see your  insights turned into real products on a regular basis.You will be working to deliver exploratory an... ",3,https://www.reed.co.uk/jobs/data-scientist-ordnance-survey-data-contract/41760986,"* Ordnance Survey Data Experience Required<br />* Python<br />* SQL<br /><br />Our client is seeking a data scientist to work on core project delivery, taking ownership of and managing data science processes. You will enjoy working with one of the strongest data sets in the country, cutting edge technology, and the ability to see your  insights turned into real products on a regular basis.<br /><br />You will be working to deliver exploratory analysis, statistical descriptions, and build predictive models based on consumer, business, and spatial data. Using data-driven methods to power decisions, inform strategy, build robust data products, and identify  opportunities for innovation across the company. The role will focus on mining, cleaning, understanding, explaining, and modelling data from various sources, and presenting these findings to a wider audience. The team will be measured on ensuring projects  can demonstrate the financial impact of leveraging data analytics and modelling.<br /><br />You MUST have worked with Ordnance Survey Data and ideally you will have worked with Address data previously. Main tasks include:<br /><br />* Address/Data Cleansing - Analysis of large data sets to identify key structures and patterns in sector specific address sets, with the aim of identifying a comprehensive and quality assured set of address cleansing rules that can be applied to customer data.<br />* Data Assurance - Statistical, quantitative and qualitative analysis of processes and results, ensuring auditable results and accurate recording of said results. Ensure documentation and processes are maintained and kept up to date.<br />* Data Management/Processing - Handling and management of large datasets, ensuring all actions and results are auditable, without data loss or duplication. Delivery of data work packages, receipt of results, collation of results/reports. Statistical reviews  etc.<br />* Contribute to Process Improvement - Continual review of processes and methods; defining new methods and mechanisms.<br /><br />An ideal data scientist will have a background in a quantitative or technical field, with experience working with large data sets, data analytics or machine learning, and will have some experience in data-driven decision making. We require a result focussed  self-starter, who can demonstrate success in using analytics to drive the understanding, growth, and success of a project.<br /><br />Key Skills:<br /><br />* SQL/Python/R<br />* Data manipulation, cleaning, visualisation<br />* Linear regression, cluster analysis, classification<br />* Strong statistics<br />* Strong Leadership and Influencing skills; interacting with senior stakeholders; highly personable<br />* Excellent written and verbal communication abilities<br />* High degree of numeracy<br /><br />If you are interested and would like to be considered for this role please apply now or email "
41760987,391559,Reqiva Ltd,NA,NA,Data Scientist Ordnance Survey Data Contract,Kent,400,400,GBP,13/02/2021,15/01/2021,"* Ordnance Survey Data Experience Required* Python* SQLOur client is seeking a data scientist to work on core project delivery, taking ownership of and managing data science processes. You will enjoy working with one of the strongest data sets in the country, cutting edge technology, and the ability to see your  insights turned into real products on a regular basis.You will be working to deliver exploratory an... ",0,https://www.reed.co.uk/jobs/data-scientist-ordnance-survey-data-contract/41760987,"* Ordnance Survey Data Experience Required<br />* Python<br />* SQL<br /><br />Our client is seeking a data scientist to work on core project delivery, taking ownership of and managing data science processes. You will enjoy working with one of the strongest data sets in the country, cutting edge technology, and the ability to see your  insights turned into real products on a regular basis.<br /><br />You will be working to deliver exploratory analysis, statistical descriptions, and build predictive models based on consumer, business, and spatial data. Using data-driven methods to power decisions, inform strategy, build robust data products, and identify  opportunities for innovation across the company. The role will focus on mining, cleaning, understanding, explaining, and modelling data from various sources, and presenting these findings to a wider audience. The team will be measured on ensuring projects  can demonstrate the financial impact of leveraging data analytics and modelling.<br /><br />You MUST have worked with Ordnance Survey Data and ideally you will have worked with Address data previously. Main tasks include:<br /><br />* Address/Data Cleansing - Analysis of large data sets to identify key structures and patterns in sector specific address sets, with the aim of identifying a comprehensive and quality assured set of address cleansing rules that can be applied to customer data.<br />* Data Assurance - Statistical, quantitative and qualitative analysis of processes and results, ensuring auditable results and accurate recording of said results. Ensure documentation and processes are maintained and kept up to date.<br />* Data Management/Processing - Handling and management of large datasets, ensuring all actions and results are auditable, without data loss or duplication. Delivery of data work packages, receipt of results, collation of results/reports. Statistical reviews  etc.<br />* Contribute to Process Improvement - Continual review of processes and methods; defining new methods and mechanisms.<br /><br />An ideal data scientist will have a background in a quantitative or technical field, with experience working with large data sets, data analytics or machine learning, and will have some experience in data-driven decision making. We require a result focussed  self-starter, who can demonstrate success in using analytics to drive the understanding, growth, and success of a project.<br /><br />Key Skills:<br /><br />* SQL/Python/R<br />* Data manipulation, cleaning, visualisation<br />* Linear regression, cluster analysis, classification<br />* Strong statistics<br />* Strong Leadership and Influencing skills; interacting with senior stakeholders; highly personable<br />* Excellent written and verbal communication abilities<br />* High degree of numeracy<br /><br />If you are interested and would like to be considered for this role please apply now or email "
41747366,126720, Talent Point Ltd,NA,NA,Data Scientist,London,60000,75000,GBP,21/01/2021,14/01/2021," Data Scientist Data Scientist required for a leading service provider in London .This company are the market leaders for their industry. We are looking to heavily invest in their Data function, and we are now hiring Data Scientist to work on a greenfield project transforming the business into a data-driven environment. You'll be working on an exciting range of projects using classical machine  learning techniques from conceptio... ",5,https://www.reed.co.uk/jobs/data-scientist/41747366," <p>Data Scientist</p> <p>Data Scientist required for a leading service provider in London .This company are the market leaders for their industry.</p> <p>We are looking to heavily invest in their Data function, and we are now hiring Data Scientist to work on a greenfield project transforming the business into a data-driven environment. You'll be working on an exciting range of projects using classical machine  learning techniques from conception through to production</p> <p><strong>THE ROLE</strong></p> <p>As a Data Scientist you will be Initially working on a pricing engine for quick quote, as well as working out how we can predict success and offer boost points.</p> <p>You will be looking at how we can best utilise customer data, proposing problem solving approaches and projects. You will prototype, test, and improve data science models and work with colleagues to deploy them, document and present them to the business.</p> <p>You will be joining a growing team, we currently have a data analyst/dwh developer, however we will also be hiring a machine learning engineer in the next few weeks. You will be providing guidance and support for them as you are leading the projects. </p> <p><strong>EXPERIENCE </strong></p> <ul> <li>Experience providing advanced analytics in a customer, retail &amp; consumer, marketing, or other front office context</li><li>Professional record demonstrating business impact; domain experience in areas such as customer analytics, CRM, customer acquisition and retention, marketing effectiveness, consumer sentiment and retail businesses will be beneficial.</li><li>Excellent communication and presentation skills, including the ability to explain and present the findings of technical work to non-expert audiences</li><li>End to end project delivery and proven ability to handle multiple project commitments simultaneously</li><li>Strong technical expertise in data science, statistical modelling and/or machine learning, fluency with machine learning and data science packages</li></ul> <p><strong>WHY WORK FOR US? </strong></p> <p>You will be joining a brand-new team and working on exciting greenfield projects. You will be able to choose the tech and tooling you want to work with, as well as identify potential for new initiatives.</p> <p>We have plans for significant growth in the next 2 years, so there will be lots of opportunities for progression.</p> <p>I have interview slots for next week</p> <p>SO APPLY NOW !</p> <p><em>Talent Point is a Hiring Communications business, working as sole hiring partners with our customers. We've ripped up the rules and torn apart the job spec to give you total clarity and visibility, painting a vivid picture (approved twice, both at Line  and C-level) of the way this company lives, breathes and behaves, and how your role will look over years not months. We present only three applicants for every vacancy so, where we do represent you, you have a very high chance of securing a role with pre-booked  interview times to plan around, in-depth vacancy details and no delays. Are you ready to seriously invest in your progression? Let's design your future.</em><em><br /><br /><em>Talent Point is an equal opportunities employer and no terminology in this advert is designed to discriminate on grounds of gender, race, colour, religion, creed, disability, age, sex or sexual orientation or any other class protected by applicable law.</em></em></p> "
41671784,523950,Futurus Search & Selection Limited,NA,NA,Data Scientist,London,60000,80000,GBP,16/02/2021,05/01/2021," We are looking for an experienced Data Scientist to join the development and modelling team of a global media agency. The role supports the delivery of projects for an advanced platform designed to automate the delivery and optimization of video into programmatic demand side platforms. About the Team The team is a diverse group of machine learning, AI, NLP and other data science experts. they work closel... ",11,https://www.reed.co.uk/jobs/data-scientist/41671784," <p>We are looking for an experienced Data Scientist to join the development and modelling team of a global media agency.</p> <p>The role supports the delivery of projects for an advanced platform designed to automate the delivery and optimization of video into programmatic demand side platforms.</p> <p><strong>About the Team</strong></p> <p>The team is a diverse group of machine learning, AI, NLP and other data science experts. they work closely with the core businesses to conceive and produce innovative data applications, creating value for the group and potentially disrupting current processes  and business models.</p> <p><strong>About the Role</strong></p> <p>Working in a highly collaborative (for now virtual environment), you will support the core team to build and deliver client engagement for the first client projects following the POC trials. You will need to be entrepreneurial, pro-active and able to work  with the lead engineer and team to build the project, spot and raise any issues and work with the team to resolve.</p> <p><strong>Responsibilities</strong></p> <ul> <li>Focus on delivery and optimization of the projects on Facebook and Google’s DV360.</li></ul> <ul> <li>Report and present findings and developments including results clearly and efficiently, verbally and in writing</li></ul> <ul> <li>Support the core development team on additional work streams.</li></ul> <p><strong>Requirements</strong></p> <p>The successful candidate will have a broad skillset including:</p> <ul> <li>A doctorate or equivalent experience in in Machine Learning, Computer Science, Mathematics or quantitative discipline</li></ul> <ul> <li>Professional experience in a data scientist or a related software engineering role </li></ul> <ul> <li>Competence to commission, interrogate, deploy, and assure advanced predictive analytics and machine learning models, such as Bayesian models, natural language processing and reinforcement learning</li></ul> <ul> <li>Comfortable mining unstructured data and ingesting data from various sources such as REST/SOAP frameworks</li></ul> <ul> <li>Familiarity with computer vision paradigms will be a good to have</li></ul> <ul> <li>Experience with popular data analytics and modelling packages.</li></ul> <ul> <li>Deep understanding and hands-on experience with optimization, data mining, machine learning, deep learning and natural language processing techniques</li></ul> <ul> <li>Experience in various types of programming (imperative, object oriented, functional and declarative)</li></ul> <ul> <li>Experience working in a multi-threaded &amp; concurrent environment and with non-blocking &amp; event-based systems</li></ul> <ul> <li>Have knowledge of Software Design Patterns and Enterprise Architecture Patterns</li></ul> <ul> <li>Have used continuous integration, version control systems and cloud based services (e.g. Windows Azure, Amazon AWS, Docker, Kubernetes)</li></ul> <ul> <li>An understanding of rapid application development approaches and techniques for mission critical solutions</li></ul> <p>This is a brilliant opportunity to utilise you data science skills in disrupting and innovating within an established gloabl business so be sure to apply now!</p> "
41635908,408461,X4 Group,NA,NA,Senior Data Scientist,London,NA,NA,NA,22/01/2021,23/12/2020," Senior Data Scientist is currently required for a 6 month project with an Analytics Consultancy in central London who have secured a fantastic long term engagement on a client project. A Senior Data Scientist is required to join the team to support with  Financial data modelling and Bayesian statistical modelling. You be will joining an agile team of Data Scientists, Strategists, Product Owners and Developers and work with an agile team with... ",9,https://www.reed.co.uk/jobs/senior-data-scientist/41635908," <p>Senior Data Scientist is currently required for a 6 month project with an Analytics Consultancy in central London who have secured a fantastic long term engagement on a client project. A Senior Data Scientist is required to join the team to support with  Financial data modelling and Bayesian statistical modelling. You be will joining an agile team of Data Scientists, Strategists, Product Owners and Developers and work with an agile team with daily stand ups. The Senior Data Scientist is required to communicate  data insights and engage with wider stakeholders as this is a particularly client facing opportunity.&nbsp;</p> <p><strong>Required Experience</strong></p> <ul> <li>Expert Python and SQL analysis and development skills with its data-stack.</li><li>Experience working with and creating production data pipelines, reporting architectures and automated testing</li><li>Minimum of 5 years of experience in manipulating data sets and building statistical models.</li><li>Experience building advanced Statistical &amp; Mathematical models for business metrics (Essential)</li><li>Experience with Time Series Analysis</li><li>Experience building Bayesian models e.g. using Stan or Pymc3</li><li>Experience with Financial Data&nbsp;</li><li>Excellent written and verbal communication skills.</li><li>Excellent experience working with stakeholders</li><li>Keen interest in Machine Learning&nbsp;</li><li>Experience with Google Cloud / BigQuery</li><li>Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative</li></ul> <p><strong>Application Process</strong></p> <p>This is a 6 month contract requirement due to commence on the 11th January. CV's are currently being considered&nbsp; and interviews with take place remotely from as early as 4th January. The process will be an initial zoon screening followed by an introduction  with their end client. The start date is flexible to up to 2 weeks' notice. The project is outside IR35 and fully remote.</p> <p><strong><em>Why Should You Apply?</em></strong></p> <p><em>This is an excellent contract opportunity to join a client that are helping organisations create value and make a difference using analytics.</em></p> <p><em>If this role isn't what you're looking for then don't worry, at X4 Technology we have excellent relationships with companies ranging from some of the most exciting start-ups to the biggest names in tech, covering a wide range of mid to senior level permanent  and contract positions.</em></p> <p><em>You can check out all of our roles on our website. Please apply via the link if you believe you are suited to this position or you can get in touch with me directly and I can run though all my current vacancies within the Data market. You will find me  on LinkedIn @lydia-b-87084491&nbsp;- X4 Technology</em></p> "
41635902,408461,X4 Group,NA,NA,Lead Data Scientist,London,NA,NA,NA,22/01/2021,23/12/2020," Lead Data Scientist is required for a 6 month project with a Consultancy Client in central London. The client are looking for a Lead Data Scientist who has experience working in Marketing Analytics. They are looking for a Lead Data Scientist to build models  to assess the impact of marketing on performance. Experience developing models that quantify the impact of marketing spend on financial performance, brand, and other indicators is import... ",8,https://www.reed.co.uk/jobs/lead-data-scientist/41635902," <p>Lead Data Scientist is required for a 6 month project with a Consultancy Client in central London. The client are looking for a Lead Data Scientist who has experience working in Marketing Analytics. They are looking for a Lead Data Scientist to build models  to assess the impact of marketing on performance. Experience developing models that quantify the impact of marketing spend on financial performance, brand, and other indicators is important in this role. The Lead Data Scientist will be a key hire for the project  and be able to comfortably communicate technical aspects of the project with non-technical teams. You will join an agile team with daily stand-ups and be required to communicate data insights and there will be a lot of stake holder engagement.</p> <p><strong>Lead Data Scientist Required Experience</strong></p> <ul> <li>Statistical Modelling expertise in Python</li><li>Deep experience with marketing mix modelling, brand impact quantification and other statistical modelling and optimisation techniques.</li><li>&nbsp;Skills in writing clean, maintainable code suitable for production data science solutions as part of a product development team</li><li>Experience with data management languages and technologies, e.g. SQL, BigQuery</li><li>Advanced degree (MSc/PhD) in a relevant academic background, e.g. computer science, statistics, engineering, mathematics</li></ul> <p><strong>Application Process</strong></p> <p>The Lead Data Scientist contract requirement is due to commence from the 11th January. CV's are currently being considered and interviews will take place remotely from as early as 4th January. The process will be a two stage remote process. The start date  is flexible up to 2 weeks’ notice.&nbsp;The role is OUTSIDE IR35.</p> <p><strong><em>Why Should You Apply?</em></strong></p> <p><em>This is an excellent contract opportunity to join a client that are helping organisations create value and make a difference using analytics.</em></p> <p><em>If this role isn't what you're looking for then don't worry, at X4 Technology we have excellent relationships with companies ranging from some of the most exciting start-ups to the biggest names in tech, covering a wide range of mid to senior level permanent  and contract positions.</em></p> <p><em>You can check out all of our roles on our website. Please apply via the link if you believe you are suited to this position or you can get in touch with me directly and I can run though all my current vacancies within the Data market. You will find me  on LinkedIn @lydia-b-87084491&nbsp;- X4 Technology</em></p> "
41427508,155907,Ability Resourcing,NA,NA,Bioinformatics Data Scientist - NGS,Cambridge,50000,75000,GBP,19/02/2021,23/11/2020, Bioinformatics Data Scientist - NGS Opportunity for a Bioinformatics Data Scientist to help build this pioneering new sequencing and diagnostic tools for cancer diagnosis by analysing epigenetic markers. Working as an integral member of this cross functional team the Bioinformatics Data Scientist  will help scale out this discovery platform to increase the reach from earlier stage cancer diagnosis to other inflammatory diseases and de... ,36,https://www.reed.co.uk/jobs/bioinformatics-data-scientist-ngs/41427508," <p>Bioinformatics Data Scientist - NGS</p> <p>Opportunity for a Bioinformatics Data Scientist to help build this pioneering new sequencing and diagnostic tools for cancer diagnosis by analysing epigenetic markers. Working as an integral member of this cross functional team the Bioinformatics Data Scientist  will help scale out this discovery platform to increase the reach from earlier stage cancer diagnosis to other inflammatory diseases and dementia.</p> <p>We are seeking a few different profiles from more data engineering focused to others who are more contributing to the output and downstream analysis of the scientific epigenetic sequence data. We’re interested in individuals who can data engineer data pipeline  of genetic sequencing data, NGS, High Throughput Screening (HTS); Bioinformatics Data Scientists who are applying statistical models to genomic data sets, any exposure to epigenetics would be beneficial; Or Machine Learning Researchers who have been applying  a range of models to relevant biological data sets.</p> <p>We’re interested in any of the following skills bioinformatics/scientific data analysis, genomics/epigenomics, machine learning/AI, visualisation and software engineering. Adept at programming languages commonly used in data science such as R, Julia, Python  and the Python data science stack (Numpy, Pandas, TensorFlow etc) and competent using Linux and associated technologies.</p> <p>The opportunity here is to join this innovative, early-stage, science led company who have just proved the concept of their disruptive discovery platform which has the potential to provide much earlier diagnosis for a range of health conditions and improve  the outcome for many future generations. The Bioinformatics Data Scientist will see the impact of their work being adopted into everyday therapeutics within the next few years. This is a chance to contribute to this change.</p> <p>Data Science, Data Engineering, python, R, Julia, Numpy, Pandas, NGS, RNA-seq, Omics, Genomics, epigenetix, HTS, Linux, AWS, GCP, Docker</p> "
